"KEYWORDS","TITLE","ABSTRACT","JOURNAL","YEAR","code","text","class"
NA,"le nouveau corpus damsterdam actes de latelier de lauterbad 23 26 fevrier 2006",NA,NA,2007,"Yes","le nouveau corpus damsterdam act de lateli de lauterbad fevrier na",1
NA,"la gazette de renaudot",NA,NA,NA,"Yes","la gazett de renaudot na",1
NA,"la collection pangloss",NA,NA,NA,"Yes","la collect pangloss na",1
NA,"kaist korean corpus",NA,NA,NA,"Yes","kaist korean corpus na",1
NA,"indo european lexical cognacy database",NA,NA,NA,"Yes","indo european lexic cognaci databas na",1
NA,"homophonecom",NA,NA,NA,"Yes","homophonecom na",1
NA,"hindi wordnet",NA,NA,NA,"Yes","hindi wordnet na",1
NA,"helsinki corpus of english texts",NA,NA,NA,"Yes","helsinki corpus english text na",1
NA,"hebrewcorpus",NA,NA,NA,"Yes","hebrewcorpus na",1
NA,"glottolog 33",NA,NA,NA,"Yes","glottolog na",1
NA,"ethnologue languages of the world",NA,NA,NA,"Yes","ethnologu languag world na",1
NA,"endangered archives programme",NA,NA,NA,"Yes","endang archiv programm na",1
NA,"corpus of early english correspondence",NA,NA,1998,"Yes","corpus earli english correspond na",1
NA,"corpus del espanol",NA,NA,NA,"Yes","corpus del espanol na",1
NA,"concepticon",NA,NA,NA,"Yes","concepticon na",1
NA,"brooklyn geneva amsterdam helsinki parsed corpus of old english",NA,NA,NA,"Yes","brooklyn geneva amsterdam helsinki pars corpus english na",1
NA,"the asjp database",NA,NA,2018,"Yes","asjp databas na",1
NA,"the irvine phonotactic online dictionary",NA,NA,2009,"Yes","irvin phonotact onlin dictionari na",1
NA,"world values survey 1981 2008",NA,NA,NA,"Yes","world valu survey na",1
NA,"archer a representative corpus of historical english registers",NA,NA,NA,"Yes","archer repres corpus histor english regist na",1
NA,"free personal pronoun system database",NA,NA,NA,"Yes","free person pronoun system databas na",1
NA,"sails",NA,NA,2014,"Yes","sail na",1
NA,"phoible online",NA,NA,2014,"Yes","phoibl onlin na",1
NA,"lexesp base de daw a informatizada de la lengua espanol",NA,NA,1996,"Yes","lexesp base de daw informatizada de la lengua espanol na",1
NA,"angenehmheit bedeutungshaltigkeit bildhaftigkeit und konkretheitabstraktheit von 452 adjektiven",NA,"Sprache {\&} Kognition",1991,"Yes","angenehmheit bedeutungshaltigkeit bildhaftigkeit und konkretheitabstraktheit von adjektiven na",1
NA,"diccionari de frequencies",NA,NA,1998,"Yes","diccionari de frequenc na",1
NA,"ntt detabesu shirizu nihongo no goi tokusei dai 1 ki cd rom ban",NA,"Tokyo: Sanseido",2003,"Yes","ntt detabesu shirizu nihongo goi tokusei dai ki cd rom ban na",1
NA,"handbuch deutschsprachiger wortnormen",NA,"Gottingen: Hogrefe",1994,"Yes","handbuch deutschsprachig wortnormen na",1
NA,"marathi speech database",NA,NA,2013,"Yes","marathi speech databas na",1
NA,"a standardized set of 143 pictures norms for name agreement image agreement and familiarity",NA,"Waseda Psychological Reports",1996,"Yes","standard set pictur norm agreement imag agreement familiar na",1
NA,"wordmine2 online",NA,NA,2006,"Yes","wordmin onlin na",1
NA,"tai and tibeto burman languages of assam",NA,NA,NA,"Yes","tai tibeto burman languag assam na",1
NA,"diccionario de frecuencias de las unidades linguisticas del castellano frequency dictionary for lexical items in castilian spanish",NA,"Oviedo: Servicio de Publicaciones de la Universidad de Oviedo",1995,"Yes","diccionario de frecuencia de las unidad linguistica del castellano frequenc dictionari lexic item castilian spanish na",1
NA,"patterns of sound",NA,NA,1984,"Yes","pattern sound na",1
NA,"the british national corpus version 3 bnc xml edition",NA,NA,2007,"Yes","british nation corpus version bnc xml edit na",1
NA,"subtlex it a frequency list for italian based on movie subtitles",NA,NA,2013,"Yes","subtlex frequenc list italian base movi subtitl na",1
NA,"wordmine database probabilistic values for all four to seven letter words in the english language",NA,NA,2000,"Yes","wordmin databas probabilist valu letter word english languag na",1
NA,"frequency length and orthographic vecinidad the words of 3 16 letters of the dictionary of the spanish language",NA,"Electronic Journal of Methodology Applied",2003,"Yes","frequenc length orthograph vecinidad word letter dictionari spanish languag na",1
NA,"the electronic world atlas of varieties of english",NA,NA,2013,"Yes","electron world atlas varieti english na",1
NA,"intercontinental dictionary series ids",NA,NA,2015,"Yes","intercontinent dictionari seri id na",1
NA,"valency patterns leipzig online database",NA,NA,NA,"Yes","valenc pattern leipzig onlin databas na",1
NA,"stresstyp2",NA,NA,NA,"Yes","stresstyp na",1
NA,"combilex speech technology lexicon",NA,NA,2013,"Yes","combilex speech technolog lexicon na",1
NA,"unisyn lexicon",NA,NA,2002,"Yes","unisyn lexicon na",1
NA,"the world atlas of language structures online",NA,NA,2013,"Yes","world atlas languag structur onlin na",1
NA,"world phonotactics database  world phonotactics database  anu",NA,NA,2013,"Yes","world phonotact databas world phonotact databas anu na",1
NA,"anatyp  the anaphora typology database",NA,NA,2005,"Yes","anatyp anaphora typolog databas na",1
NA,"numeral systems of the world",NA,NA,NA,"Yes","numer system world na",1
NA,"atlas of dialect topography on line",NA,NA,NA,"Yes","atlas dialect topographi line na",1
NA,"tables of trigram frequency counts for various word length and letter position combinations",NA,"Psychonomic Monograph Supplementsi",1965,"Yes","tabl trigram frequenc count word length letter posit combin na",1
NA,"word association norms a comparison of adolescent mental retardates and normals",NA,"Psychonomic Monograph Supplements",1971,"Yes","word associ norm comparison adolesc mental retard normal na",1
NA,"the connecticut free association norms tech rep 35",NA,NA,1961,"Yes","connecticut free associ norm tech rep na",1
NA,"tables of tetragram frequency counts for various word length and letter position combinations",NA,"Psychonomic Monograph Supplements",1965,"Yes","tabl tetragram frequenc count word length letter posit combin na",1
"Softcopy","the helsinki corpus of older scots",NA,"The Helsinki Corpus of Older Scots",1989,"Yes","softcopi helsinki corpus older scot na",1
"Linguistic Data","the celex lexical database cd rom",NA,NA,1995,"Yes","linguist data celex lexic databas cd rom na",1
NA,"computational analysis of present day american english",NA,NA,1967,"Yes","comput analysi present day american english na",1
NA,"the international affective digitized sounds 2nd edition iads 2 affective ratings of sounds and instruction manual",NA,NA,1999,"Yes","intern affect digit sound nd edit iad affect rate sound instruct manual na",1
NA,"no word frequency book",NA,NA,1971,"Yes","word frequenc book na",1
NA,"tables of pentagram frequency counts for various word length and letter position combinations",NA,"Psychonomic Monograph Supplements",1965,"Yes","tabl pentagram frequenc count word length letter posit combin na",1
NA,"norms for successive word associations",NA,NA,1966,"Yes","norm success word associ na",1
NA,"convergent association norms for ten year old children and college age adults",NA,NA,1967,"Yes","converg associ norm ten year children colleg age adult na",1
NA,"a contribution to two dimensional language description the typological database of intensifiers and reflexives",NA,NA,NA,"Yes","contribut dimension languag descript typolog databas intensifi reflex na",1
NA,"erwunschheit und bedeutung von 338 alltagspsychologischen eigenschaftsbegriffen",NA,NA,1971,"Yes","erwunschheit und bedeutung von alltagspsychologischen eigenschaftsbegriffen na",1
NA,"mcword an on line orthographic database of the english language",NA,NA,2005,"Yes","mcword line orthograph databas english languag na",1
NA,"a word frequency list based on american english press reportage",NA,NA,1978,"Yes","word frequenc list base american english press reportag na",1
NA,"the semantic count of the 570 commonest english words",NA,NA,1949,"Yes","semant count commonest english word na",1
"Computational Linguistics,Form Classes (Languages),Speech Communication,Verbal Communication,Word Frequency,Word Lists","a spoken word count",NA,NA,1966,"Yes","comput linguisticsform class languagesspeech communicationverb communicationword frequencyword list spoken word count na",1
NA,"mean associative latencies of 200 cvc trigrams",NA,"Journal of Psychology: Interdisciplinary and Applied",1964,"Yes","associ latenc cvc trigram na",1
NA,"cultural norms for verbal items in 43 categories tech rep no 22",NA,NA,1957,"Yes","cultur norm verbal item categori tech rep na",1
NA,"associative characteristics of sixty three adjectives and their relation to verbal paired associate learning in children",NA,"Child Development",1961,"Yes","associ characterist sixti adject relat verbal pair associ learn children na",1
NA,"omnilex a computerized database on the french lexicon",NA,NA,2006,"Yes","omnilex computer databas french lexicon na",1
NA,"associative responses to novel figures",NA,"Psychonomic Society",1972,"Yes","associ respons figur na",1
NA,"letter association norms",NA,"Psychonomic Press",1966,"Yes","letter associ norm na",1
NA,"word association norms of adolescent mental retardates",NA,"Psychonomic Journals",1970,"Yes","word associ norm adolesc mental retard na",1
NA,"synonym responses to 100 free association stimuli",NA,"Psychonomic Society",1972,"Yes","synonym respons free associ stimuli na",1
NA,"overlap and direct associative strength norms for 480 word pairs",NA,"Psychonomic Monograph Supplements",1967,"Yes","overlap direct associ strength norm word pair na",1
NA,"measurements of association value a rated associations a and scaled meaningfulness m for the 2100 cvc combinations of the english alphabet",NA,"Psychological Reports",1961,"Yes","measur associ rate associ scale meaning cvc combin english alphabet na",1
"college students,word associations to 19 vowels","word associations to 19 vowels",NA,"Journal of Experimental Psychology: Human Learning {\&} Memory",1976,"Yes","colleg studentsword associ vowel word associ vowel na",1
NA,"primary associates to 20 verbs connoting violence",NA,"Behavior Research Methods {\&} Instrumentation",1975,"Yes","primari associ verb connot violenc na",1
NA,"word associations to homographs","Word associations to 40 homographic stimuli were scored in terms of the semantic features serving as S's apparent functional stimulus, and hierarchies related to the separate sets of features of homographs were determined. For most homographs the dominant meaning in the associative hierarchy was the more frequently occurring meaning in semantic counts, a finding in agreement with a spew-like principle of perceiving homographic stimuli.","Journal of Verbal Learning and Verbal Behavior",1970,"Yes","word associ homograph word associ homograph stimuli score term semant featur serv appar function stimulus hierarchi relat separ set featur homograph determin homograph domin mean associ hierarchi frequent occur mean semant count find agreement spew principl perceiv homograph stimuli",1
NA,"scaled rated meaningfulness of 319 cvcvc words and paralogs previously assessed for associative reaction time","CVCVC (319) words and paralogs previously assessed for associative reaction time (RT) by Taylor and Kimble were assessed for rated frequency (a′) and scaled rated meaningfulness (m′) following procedures used by Noble. Reliability of the a′ scale, based on three intergroup correlations, resulted in rs of .92, .90 and .89. Reliability of the m′ scale, based on an internal consistency test resulted in a mean discrepancy between the 128 empirical proportions and their corresponding theoretical proportions of 2.4; that is, the average error of reproducing all the original data from m′ scaled values was 2.4{\%}. The r between m′ and RT was .71.","Journal of Verbal Learning and Verbal Behavior",1972,"Yes","scale rate meaning cvcvc word paralog previous assess associ reaction time cvcvc word paralog previous assess associ reaction time rt taylor kimbl assess rate frequenc scale rate meaning procedur nobl reliabl scale base intergroup correl result rs reliabl scale base intern consist test result discrep empir proport theoret proport averag error reproduc origin data scale valu rt",1
NA,"the database for spoken german  dgd2","The Database for Spoken German (Datenbank f{\""{u}}r Gesprochenes Deutsch, DGD2, http://dgd.ids-mannheim.de) is the central platform for publishing and disseminating spoken language corpora from the Archive of Spoken German (Archiv f{\""{u}}r Gesprochenes Deutsch, AGD, http://agd.ids-mannheim.de) at the Institute for the German Language in Mannheim. The corpora contained in the DGD2 come from a variety of sources, some of them in-house projects, some of them external projects. Most of the corpora were originally intended either for research into the (dialectal) variation of German or for studies in conversation analysis and related fields. The AGD has taken over the task of permanently archiving these resources and making them available for reuse to the research community. To date, the DGD2 offers access to 19 different corpora, totalling around 9000 speech events, 2500 hours of audio recordings or 8 million transcribed words. This paper gives an overview of the data made available via the DGD2, of the technical basis for its implementation, and of the most important functionalities it offers. The paper concludes with information about the users of the database and future plans for its development.",NA,2014,"Yes","databas spoken german dgd databas spoken german datenbank gesprochen deutsch dgd httpdgdid mannheimd central platform publish dissemin spoken languag corpora archiv spoken german archiv gesprochen deutsch agd httpagdid mannheimd institut german languag mannheim corpora contain dgd varieti sourc hous project extern project corpora origin intend research dialect variat german studi convers analysi relat field agd task perman archiv resourc make reus research communiti date dgd offer access corpora total speech event hour audio record million transcrib word paper overview data made dgd technic basi implement import function offer paper conclud inform user databas futur plan develop",1
NA,"the design of a corpus of contemporary arabic","Corpora are an important resource for both teaching and research. Arabic lacks sufficient resources in this field, so a research project has been designed to compile a corpus, which represents the state of the Arabic language at the present time and the needs of end-users. This report presents the result of a survey of the needs of teachers of Arabic as a foreign language (TAFL) and language engineers. The survey shows that a wide range of text types should be included in the corpus. Overall, our survey confirms our view that existing corpora are too narrowly limited in source-type and genre, and that there is a need for a freely-accessible corpus of contemporary Arabic covering a broad range of text-types. We have collected and published an initial version of the Corpus of Contemporary Arabic (CCA) to meet these design issues. The CCA is freely downloadable via WWW from http://www.comp.leeds.ac.uk/arabic.","International Journal of Corpus Linguistics",2006,"Yes","design corpus contemporari arab corpora import resourc teach research arab lack suffici resourc field research project design compil corpus repres state arab languag present time end user report present result survey teacher arab foreign languag tafl languag engin survey show wide rang text type includ corpus survey confirm view exist corpora narrowli limit sourc type genr freeli access corpus contemporari arab cover broad rang text type collect publish initi version corpus contemporari arab cca meet design issu cca freeli download www httpwwwcompleedsacukarab",1
"gloss analysis,lexical resources,opinion mining,sentiment classification,supervised learning","sentiwordnet a high coverage lexical resource for opinion mining","Opinion mining (OM) is a recent subdiscipline at the crossroads of information retrieval and computational linguistics which is concerned not with the topic a document is about, but with the opinions it expresses. OM has a rich set of applications, ranging from tracking users' opinions about products or about political candidates as expressed in online forums, to customer relationship management. In order to aid the extraction of opinions from text, recent research has tried to automatically determine the “PN-polarity” of subjective terms, i.e. identify whether a term that indicates the presence of an opinion has a positive or a negative connotation. Research on determining the “SO-polarity” of terms, i.e. whether a term indeed indicates the presence of an opinion (a subjective term) or not (an objective, or neutral term) has been instead much scarcer. In this paper we describe SentiWordNet, a lexical resource produced by asking an automated classifier ˆ to associate to each synset s of WordNet (version 2.0) a triplet of scores ˆ(s, p) (for p 2 P ={\{}Positive, Negative, Objective{\}}) describing how strongly the terms contained in s enjoy each of the three properties. The method used to develop SentiWordNet is based on the quantitative analysis of the glosses associated to synsets, and on the use of the resulting vectorial term representations for semi-supervised synset classification. The score triplet is derived by combining the results produced by a committee of eight ternary classifiers, all characterized by similar accuracy levels but extremely different classification behaviour. We present the results of evaluating the accuracy of the automatically assigned triplets on a publicly available benchmark. SentiWordNet is freely available for research purposes, and is endowed with a Web-based graphical user interface.","Evaluation",2007,"Yes","gloss analysislex resourcesopinion miningsenti classificationsupervis learn sentiwordnet high coverag lexic resourc opinion mine opinion mine om recent subdisciplin crossroad inform retriev comput linguist concern topic document opinion express om rich set applic rang track user opinion product polit candid express onlin forum custom relationship manag order aid extract opinion text recent research automat determin pn polar subject term identifi term presenc opinion posit negat connot research determin polar term term presenc opinion subject term object neutral term scarcer paper describ sentiwordnet lexic resourc produc autom classifi associ synset wordnet version triplet score posit negat object describ strong term contain enjoy properti method develop sentiwordnet base quantit analysi gloss synset result vectori term represent semi supervis synset classif score triplet deriv combin result produc committe ternari classifi character similar accuraci level extrem classif behaviour present result evalu accuraci automat assign triplet public benchmark sentiwordnet freeli research purpos endow web base graphic user interfac",1
NA,"spoken word frequency counts based on 16 million words in american english","Written word frequency (e.g., Francis {\&} Kucera, 1982; Kucera {\&} Francis, 1967) constitutes a popular measure of word familiarity, which is highly predictive of word recognition. Far less often, researchers employ spoken frequency counts in their studies. This discrepancy can be attributed most readily to the conspicuous absence of a sizeable spoken frequency count for American English. The present article reports the construction of a 1.6-million-word spoken frequency database derived from the Michigan Corpus of Academic Spoken English (Simpson, Swales, {\&} Briggs, 2002). We generated spoken frequency counts for 34,922 words and extracted speaker attributes from the source material to generate relative frequencies of words spoken by each speaker category. We assess the predictive validity of these counts, and discuss some possible applications outside of word recognition studies.","Behavior Research Methods",2007,"Yes","spoken word frequenc count base million word american english written word frequenc franci kucera kucera franci constitut popular measur word familiar high predict word recognit research employ spoken frequenc count studi discrep attribut readili conspicu absenc sizeabl spoken frequenc count american english present articl report construct million word spoken frequenc databas deriv michigan corpus academ spoken english simpson swale brigg generat spoken frequenc count word extract speaker attribut sourc materi generat relat frequenc word spoken speaker categori assess predict valid count discuss applic word recognit studi",1
