"","CATEGORY","BIBTEXKEY","ADDRESS","ANNOTE","AUTHOR","BOOKTITLE","CHAPTER","CROSSREF","EDITION","EDITOR","HOWPUBLISHED","INSTITUTION","JOURNAL","KEY","MONTH","NOTE","NUMBER","ORGANIZATION","PAGES","PUBLISHER","SCHOOL","SERIES","TITLE","TYPE","VOLUME","YEAR","ABSTRACT","ISSN","KEYWORDS","URL","ISBN","DOI","code","duplicate"
"11","ARTICLE",NA,NA,NA,"Beno√Æt LemaireGuy Denhi√®reC√©drick BellissensSandra Jhean-Larose",NA,NA,NA,NA,"NULL",NA,NA,"Behavior Research Methods",NA,NA,NA,"4",NA,NA,NA,NA,NA,"a computational model for simulating text comprehension",NA,"38",2006,"In the present article, we outline the architecture of a computer program for simulating the process by which humans comprehend texts. The program is based on psycholinguistic theories about human memory and text comprehension processes, such as the construction-integration model (Kintsch, 1998), the latent semantic analysis theory of knowledge representation (Landauer & Dumais, 1997), and the predication algorithms (Kintsch, 2001; Lemaire & Bianco, 2003), and it is intended to help psycholinguists investigate the way humans comprehend texts.",NA,"KeywordsEpisodic Memory Semantic Similarity Semantic Memory Latent Semantic Analysis Text Comprehension ","http://link.springer.com/article/10.3758/BF03193895",NA,"10.3758/BF03193895","No",TRUE
"12","ARTICLE",NA,NA,NA,"Menahem YeariPaul van den Broek",NA,NA,NA,NA,"NULL",NA,NA,"Behavior Research Methods",NA,NA,NA,"3",NA,NA,NA,NA,NA,"a computational modeling of semantic knowledge in reading comprehension: integrating the landscape model with latent semantic analysis",NA,"48",2016,"It is a well-accepted view that the prior semantic (general) knowledge that readers possess plays a central role in reading comprehension. Nevertheless, computational models of reading comprehension have not integrated the simulation of semantic knowledge and online comprehension processes under a unified mathematical algorithm. The present article introduces a computational model that integrates the landscape model of comprehension processes with latent semantic analysis representation of semantic knowledge. In three sets of simulations of previous behavioral findings, the integrated model successfully simulated the activation and attenuation of predictive and bridging inferences during reading, as well as centrality estimations and recall of textual information after reading. Analyses of the computational results revealed new theoretical insights regarding the underlying mechanisms of the various comprehension phenomena.",NA,"KeywordsReading comprehension Computational modeling Landscape model Latent semantic analysis Semantic knowledge Inference generation Information centrality Text recall ","http://link.springer.com/article/10.3758/s13428-016-0749-6",NA,"10.3758/s13428-016-0749-6","No",TRUE
"13","ARTICLE",NA,NA,NA,"Robert M. Rippey",NA,NA,NA,NA,"NULL",NA,NA,"Behavior Research Methods, Instruments, & Computers",NA,NA,NA,"1",NA,NA,NA,NA,NA,"a computer program for administering and scoring confidence tests",NA,"18",1986,NA,NA,"KeywordsPayoff Brier Score Floppy Disk Conditional Likelihood Knowledge Improvement ","http://link.springer.com/article/10.3758/BF03200999",NA,"10.3758/BF03200999","No",TRUE
"14","ARTICLE",NA,NA,NA,"J. Gotman",NA,NA,NA,NA,"NULL",NA,NA,"Behavior Research Methods & Instrumentation",NA,NA,NA,"4",NA,NA,NA,NA,NA,"a computer system to assist in the evaluation of the eegs of epileptic patients",NA,"13",1981,"The specific EEG manifestations of epilepsy, seizures, and interictal spikes and sharp waves occur at unpredictable times and at variable frequencies. To obtain an adequate diagnosis, it is often necessary to record the EEG for several hours or several days. A computer system was developed to perform data reduction and quantification by continuously monitoring seizures and automatically recognizing interictal spikes and sharp waves. The past 2 min of EEG are kept on the computer disk at every instant. When an epileptic seizure occurs or when a spike is detected, a sample of EEG, including a section preceding the event itself, is written on the EEG polygraph and on magnetic tape. A continuous recording is thus replaced by samples of varying lengths, containing only the important aspects of the EEG, reducing considerably the original data. After the monitoring session, the spatial and temporal distributions of the interictal activity are presented in a quantified form on the terminal. The seizures are recorded on digital tape and are available for several types of processing. The patient is also monitored by a video system; EEG and video are synchronized by a time-of-day clock to allow electroclinical correlations.",NA,"KeywordsEpileptic Seizure Magnetic Tape Clinical Neurophysiology Sharp Wave Monitoring Session ","http://link.springer.com/article/10.3758/BF03202062",NA,"10.3758/BF03202062","No",TRUE
"15","ARTICLE",NA,NA,NA,"Andrew O. Hummel-schlugerJohn S. Baer",NA,NA,NA,NA,"NULL",NA,NA,"Behavior Research Methods, Instruments, & Computers",NA,NA,NA,"1",NA,NA,NA,NA,NA,"a computer-controlled administration of the matching familiar figures test",NA,"28",1996,"The Kagan Matching Familiar Figures Test of Impulsivity/Reflectivity was modified to allow computer control of stimulus presentation and data acquisition via IBM-compatible systems. The comparability of computer administration and traditional hand administration was examined in a split-half study with a sample of 58 students (ages, 18–39 years). Analyses of variance revealed no significant differences between the administration techniques for latency and a small but significant difference for accuracy. Correlations between the two administration techniques were .61 for latency and .40 for error scores. Internal consistency coefficients for computer administration exceeded those for hand administration on both latency and accuracy. These data compare favorably with results reported by others and suggest that computer administration offers a viable alternative to traditional hand administration of the MFFT in research applications.",NA,"KeywordsInternal Consistency Coefficient Administration Technique Familiar Figure Computer Administration Match Familiar Figure Test ","http://link.springer.com/article/10.3758/BF03203642",NA,"10.3758/BF03203642","No",TRUE
"16","ARTICLE",NA,NA,NA,"Philip J. BensonJoanne L. EmeryMartin J. Tov√©eEsther M. Cohen-tov√©e",NA,NA,NA,NA,"NULL",NA,NA,"Behavior Research Methods, Instruments, & Computers",NA,NA,NA,"3",NA,NA,NA,NA,NA,"a computer-graphic technique for the study of body size perception and body types",NA,"31",1999,"We present a novel approach for measuring body size estimation in normal and eating-disordered women and men. Clinical categories of body types were used as prototypes. By comparing the subjective appearance of a person’s body with prototypes, we can understand how different attributes of his or her body shape contribute to perception of body size. After lifelike random distortions have been applied to parts of their body image, individuals adjust their body shapes until they converge on their perceived veridical appearance. Exaggeration and minimization of particular body areas measured with respect to their true shape and with different prototypes can be expressed as numerical deviations. In this way, perceived body size and body attractiveness can be appraised during the course of diagnosis and treatment of eating disorders.",NA,"KeywordsBody Image Anorexia Nervosa Body Part Eating Disorder Body Shape ","http://link.springer.com/article/10.3758/BF03200725",NA,"10.3758/BF03200725","No",TRUE
"17","ARTICLE",NA,NA,NA,"Lawrence G. Space",NA,NA,NA,NA,"NULL",NA,NA,"Behavior Research Methods & Instrumentation",NA,NA,NA,"2",NA,NA,NA,NA,NA,"a console for the interactive on-line administration of psychological tests",NA,"7",1975,"A computer controlled console for on-line psychological testing of psychiatric patients is described. The Peabody Picture Vocabulary Test and the Kelly Role Construct Repertory Test are computer administered using three visual, one auditory, and two response modes. Test data are analyzed, interpreted, and incorporated into a program-written psychological report. Benefits and other applications from such a system are noted.",NA,"KeywordsResponse Mode Psychological Test Minnesota Multiphasic Personality Inventory Visual Mode Peabody Picture Vocabulary ","http://link.springer.com/article/10.3758/BF03201323",NA,"10.3758/BF03201323","No",TRUE
"18","ARTICLE",NA,NA,NA,"Albrecht W. InhoffCynthia ConnineRalph Radach",NA,NA,NA,NA,"NULL",NA,NA,"Behavior Research Methods, Instruments, & Computers",NA,NA,NA,"4",NA,NA,NA,NA,NA,"a contingent speech technique in eye movement research on reading",NA,"34",2002,"A novel eye-movement-contingent method is presented. It builds on and extends established eye-movement-contingent visual display change methods in that it uses movements of the eyes to control the presentation of acoustic information during sentence reading. In one implementation, an irrelevant spoken word is presented when the eyes cross a predetermined spatial boundary before they move on to a selected visual target word. The relationship between the spoken word and the visual target is manipulated, and the pattern of interference, caused by the presentation of the spoken word, is used to determine the nature and time course of activated representations. Results from three recently completed experiments in which the technique was used show that a word’s phonological code remains active after it has been read and that the activated code has speech-like properties.",NA,"KeywordsTarget Word Visual Word Visual Target Phonological Code Filler Word ","http://link.springer.com/article/10.3758/BF03195476",NA,"10.3758/BF03195476","No",TRUE
"19","ARTICLE",NA,NA,NA,"S. CoxM. ThirlawayT. Cox",NA,NA,NA,NA,"NULL",NA,NA,"Behavior Research Methods & Instrumentation",NA,NA,NA,"1",NA,NA,NA,NA,NA,"a dental roll technique for the measurement of salivary activity",NA,"13",1981,"A discussion of the development of a method for the analysis of salivary activity is presented. Results gained using this new method are compared with those obtained using a whole-mouth spitting technique. The application of the new method in real-world situations is indicated. Norms are presented for measures of salivary flow, pH, and salivary ion concentration based on experimental studies of a female working population.",NA,"KeywordsSalivary Flow Salivary Flow Rate Salivary Activity Double Distil Deionized Water Dental Roll ","http://link.springer.com/article/10.3758/BF03201870",NA,"10.3758/BF03201870","No",TRUE
"20","ARTICLE",NA,NA,NA,"David F. BjorklundJohn W. Jacobs",NA,NA,NA,NA,"NULL",NA,NA,"Behavior Research Methods, Instruments, & Computers",NA,NA,NA,"6",NA,NA,NA,NA,NA,"a developmental examination of ratings of associative strength",NA,"16",1984,"Ratings of associative strength between members of pairs of categorically related words were obtained for children from Grades 3,4,6, and 8 and for college adults. Correlations of ratings were high among the five grade levels, indicating that associative relations are an early form of semantic representation that change minimally in development.",NA,"KeywordsGrade Level Behavior Research Method Word Pair Semantic Memory Associative Strength ","http://link.springer.com/article/10.3758/BF03200850",NA,"10.3758/BF03200850","No",TRUE
"21","ARTICLE",NA,NA,NA,"Claude BonnetBirgitta Dresp",NA,NA,NA,NA,"NULL",NA,NA,"Behavior Research Methods, Instruments, & Computers",NA,NA,NA,"1",NA,NA,NA,NA,NA,"a fast procedure for studying conditional accuracy functions",NA,"25",1993,"This paper describes a procedure for obtaining conditional accuracy functions(CAFs) from naive observers and a restricted number of trials. The method permits the experimenter to counter the subjects’ tendency to favor accuracy in tasks in which stimulus discrimination is easy. Each time a block of 12 trials contains less than three errors, observers are instructed, by means of a speed-up signal, to respond faster. The subject is continuously informed about her/his effective reaction time. The data show that the desired speed-accuracy tradeoff was obtained within each of the 7 observers. The mean percent error was around 25%.",NA,"KeywordsStandard Deviation Bonnet Choice Reaction Time Accuracy Index High Interindividual Variability ","http://link.springer.com/article/10.3758/BF03204443",NA,"10.3758/BF03204443","No",TRUE
"22","ARTICLE",NA,NA,NA,"Ian J. DearyDavid LiewaldJack Nissan",NA,NA,NA,NA,"NULL",NA,NA,"Behavior Research Methods",NA,NA,NA,"1",NA,NA,NA,NA,NA,"a free, easy-to-use, computer-based simple and four-choice reaction time programme: the deary-liewald reaction time task",NA,"43",2011,"Reaction time tasks are used widely in basic and applied psychology. There is a need for an easy-to-use, freely available programme that can run simple and choice reaction time tasks with no special software. We report the development of, and make available, the Deary-Liewald reaction time task. It is initially tested here on 150 participants, aged from 18 to 80, alongside another widely used reaction time device and tests of fluid and crystallised intelligence and processing speed. The new task’s parameters perform as expected with respect to age and intelligence differences. The new task’s parameters are reliable, and have very high correlations with the existing task. We also provide instructions for downloading and using the new reaction time programme, and we encourage other researchers to use it.",NA,"KeywordsReaction time Ageing Intelligence Processing speed Psychometric testing ","http://link.springer.com/article/10.3758/s13428-010-0024-1",NA,"10.3758/s13428-010-0024-1","No",TRUE
"23","ARTICLE",NA,NA,NA,"Matthew S. FritzDavid P. MacKinnon",NA,NA,NA,NA,"NULL",NA,NA,"Behavior Research Methods",NA,NA,NA,"1",NA,NA,NA,NA,NA,"a graphical representation of the mediated effect",NA,"40",2008,"Mediation analysis is widely used in the social sciences. Despite the popularity of mediation models, few researchers have used graphical methods, other than structural path diagrams, to represent their models. Plots of the mediated effect can help a researcher better understand the results of the analysis and convey these results to others. This article presents a method for creating and interpreting plots of the mediated effect for a variety of mediation models, including models with (1) a dichotomous independent variable, (2) a continuous independent variable, and (3) an interaction between an independent variable and the mediating variable. An empirical example is then presented to illustrate these plots. Sample code for creating plots of the mediated effect in R and SAS is also included, and may be downloaded from www.psychonomic.org/archive.",NA,"KeywordsMediate Effect Mediation Model Mediation Analysis Anabolic Steroid Path Diagram ","http://link.springer.com/article/10.3758/BRM.40.1.55",NA,"10.3758/BRM.40.1.55","No",TRUE
"24","ARTICLE",NA,NA,NA,"John T. E. RichardsonTomaso Vecchi",NA,NA,NA,NA,"NULL",NA,NA,"Behavior Research Methods, Instruments, & Computers",NA,NA,NA,"1",NA,NA,NA,NA,NA,"a jigsaw-puzzle imagery task for assessing active visuospatial processes in old and young people",NA,"34",2002,"Recent studies have suggested a theoretical distinction between active elaboration and passive storage in visuospatial working memory, but research with older adults has failed to demonstrate a differential preservation of these two abilities. The results are controversial, and the investigation of the active component has been inhibited by the absence of any appropriate experimental procedures. A new task was developed involving the mental reconstruction of pictures of objects from fragmented pieces, and this provides a useful procedure for exploring active visuospatial processing. Significant differences in terms of both correctness and response latency were obtained between young and older adults and between younger old and older old adults. Performance also varied with visual complexity, mental rotation, and processing load. It is concluded that this ecologically relevant procedure constitutes a very powerful, sensitive, and reliable tool for identifying individual differences in visuospatial working memory.",NA,"KeywordsMental Rotation Correct Location Processing Load Articulatory Suppression Visual Complexity ","http://link.springer.com/article/10.3758/BF03195425",NA,"10.3758/BF03195425","No",TRUE
"25","ARTICLE",NA,NA,NA,"Kenji IrieBruce A. WilsonRichard D. JonesPhilip J. BonesTim J. Anderson",NA,NA,NA,NA,"NULL",NA,NA,"Behavior Research Methods, Instruments, & Computers",NA,NA,NA,"4",NA,NA,NA,NA,NA,"a laser-based eye-tracking system",NA,"34",2002,"This paper reports on the development of a new eye-tracking system for noninvasive recording of eye movements. The eye tracker uses a flying-spot laser to selectivelyimage landmarks on the eye and, subsequently, measure horizontal, vertical, and torsional eye movements. Considerable work was required to overcome the adverse effects of specular reflection of the flying-spot from the surface of the eye onto the sensing elements of the eye tracker. These effects have been largely overcome, and the eye-tracker has been used to document eye movement abnormalities, such as abnormal torsional pulsion of saccades, in the clinical setting.",NA,"KeywordsSpecular Reflection Torsional Movement Reference Weighting Horizontal Sweep Vertical Sweep ","http://link.springer.com/article/10.3758/BF03195485",NA,"10.3758/BF03195485","No",TRUE
"26","ARTICLE",NA,NA,NA,"Masatoshi Kawai",NA,NA,NA,NA,"NULL",NA,NA,"Behavior Research Methods, Instruments, & Computers",NA,NA,NA,"1",NA,NA,NA,NA,NA,"a method for analyzing the motion of an object on a vtr screen with an apple ii computer",NA,"16",1984,"To detect position on a video tape recorder (VTR) monitor screen, two different types of apparatus were developed. One was a light pen, and the other was an instrument similar to an X-Y tracker. These were designed to work with the Apple II computer. Their circuit diagrams are presented.",NA,"KeywordsVideo Signal Scanning Point Tracker Circuit Video Tape Recorder Horizontal Oscillator ","http://link.springer.com/article/10.3758/BF03201042",NA,"10.3758/BF03201042","No",TRUE
"27","ARTICLE",NA,NA,NA,"Laurence T. MaloneyKyunghee Koh",NA,NA,NA,NA,"NULL",NA,NA,"Behavior Research Methods, Instruments, & Computers",NA,NA,NA,"4",NA,NA,NA,NA,NA,"a method for calibrating the spatial coordinates of a visual display to high accuracy",NA,"20",1988,"High-resolution CRT displays are subject togeometric distortion: lines that are straight in the internal coordinates of the graphics software and hardware are curved when projected onto a plane in the observer’s line of sight. As the available resolution of CRT screens increases, it becomes more difficult to measure and correct for this distortion. We present a simple, highly accurate method for determining the mapping between internal coordinates and the viewing plane. It requires that an observer, using a calibration program, adjust triples of displayed points until they are collinear. A metal straightedge placed between the observer and the screen aids in this judgment. We describe the calibration of an IBM Enhanced Graphics Display in high-resolution mode (350 × 640 pixels), and illustrate how to use the estimated mapping to choose internal coordinates to draw undistorted figures that are accurate to within 0.5 pixel. The method can be used to assess or to correct the accuracy of visual displays. The method is relevant to experiments in spatial vision, spatial perception, perception of dot patterns, and any application in which geometrically accurate stimuli are required.",NA,"KeywordsCoord Double Precision Geometric Distortion Distortion Function Calibration Measurement ","http://link.springer.com/article/10.3758/BF03202682",NA,"10.3758/BF03202682","No",TRUE
"28","ARTICLE",NA,NA,NA,"Gene P. SackettRichard TrippConstance MilbrathJohn GluckHerbert Pick",NA,NA,NA,NA,"NULL",NA,NA,"Behavior Research Methods & Instrumentation",NA,NA,NA,"5",NA,NA,NA,NA,NA,"a method for studying visually guided perception and learning in newborn macaques",NA,"3",1971,"A maintenance technique was developed in which neonatal monkeys obtain all liquid food by placing their heads in a face mask mounted on their cage wall. Complete self-feeding required only 3-6 days for animals started at birth. Once under a self-feeding Schedule, operant responses were shaped to study visual perception, visually guided motor performance, and discrimination learning at ages much younger than those allowed by most alternative methods. Dark rearing, with the only source of visual input being through the face mask eyeholes, allowed the E to control completely the neonate’s visual experiences and its opportunities for visual-motor responding. The method has proven useful in rhesus monkey newborns for studying adaptation to prismatic displacement at 30 days of age, and to performance on CRF, FI, and FR reinforcement schedules.",NA,"KeywordsNipple Sensory Deprivation Lens Condition Regional Primate Research Prism Displacement ","http://link.springer.com/article/10.3758/BF03208388",NA,"10.3758/BF03208388","No",TRUE
