"CATEGORY","BIBTEXKEY","ADDRESS","ANNOTE","AUTHOR","BOOKTITLE","CHAPTER","CROSSREF","EDITION","EDITOR","HOWPUBLISHED","INSTITUTION","JOURNAL","KEY","MONTH","NOTE","NUMBER","ORGANIZATION","PAGES","PUBLISHER","SCHOOL","SERIES","TITLE","TYPE","VOLUME","YEAR","ABSTRACT","ISSN","KEYWORDS","URL","ISBN","DOI","code","duplicate"
"ARTICLE","Brysbaert2009",NA,NA,"c(""Brysbaert, Marc"", ""New, Boris"")",NA,NA,NA,NA,NA,NA,NA,"Behavior research methods",NA,NA,NA,"4",NA,"977--90",NA,NA,NA,"moving beyond kucera and francis a critical evaluation of current word frequency norms and the introduction of a new and improved word frequency measure for american english",NA,"41","2009","Word frequency is the most important variable in research on word processing and memory. Yet, the main criterion for selecting word frequency norms has been the availability of the measure, rather than its quality. As a result, much research is still based on the old Kucera and Francis frequency norms. By using the lexical decision times of recently published megastudies, we show how bad this measure is and what must be done to improve it. In particular, we investigated the size of the corpus, the language register on which the corpus is based, and the definition of the frequency measure. We observed that corpus size is of practical importance for small sizes (depending on the frequency of the word), but not for sizes above 16-30 million words. As for the language register, we found that frequencies based on television and film subtitles are better than frequencies based on written sources, certainly for the monosyllabic and bisyllabic words used in psycholinguistic research. Finally, we found that lemma frequencies are not superior to word form frequencies in English and that a measure of contextual diversity is better than a measure based on raw frequency of occurrence. Part of the superiority of the latter is due to the words that are frequently used as names. Assembling a new frequency norm on the basis of these considerations turned out to predict word processing times much better than did the existing norms (including Kucera {\&} Francis and Celex). The new SUBTL frequency norms from the SUBTLEX(US) corpus are freely available for research purposes from http://brm.psychonomic-journals.org/content/supplemental, as well as from the University of Ghent and Lexique Web sites.","1554-3528","Data Interpretation, Statistical,Humans,Language,Memory,Memory: physiology,Mental Processes,Mental Processes: physiology,Recognition (Psychology),Reference Standards,Statistical,Vocabulary","http://www.ncbi.nlm.nih.gov/pubmed/19897807","1554-3528 (Electronic)$\backslash$n1554-351X (Linking)","10.3758/BRM.41.4.977","Yes","TRUE"
"ARTICLE",NA,NA,NA,"Marc BrysbaertBoris New",NA,NA,NA,NA,"NULL",NA,NA,"Behavior Research Methods",NA,NA,NA,"4",NA,NA,NA,NA,NA,"moving beyond kuera and francis a critical evaluation of current word frequency norms and the introduction of a new and improved word frequency measure for american english",NA,"41","2009",NA,NA,NA,"http://link.springer.com/article/10.3758/BRM.41.4.977",NA,"10.3758/BRM.41.4.977","No","TRUE"
"ARTICLE","Dasi2007",NA,NA,"c(""Das{\\'{i}}, Carmen"", ""Soler, Mar{\\'{i}}a Jos{\\'{e}}"", ""Ruiz, Juan Carlos"")",NA,NA,NA,NA,NA,NA,NA,"Behavior Research Methods",NA,NA,NA,"3",NA,"371--376",NA,NA,NA,"priming index of the spanish word fragments from the dasi soler and ruiz 2004 database",NA,"39","2007","Word-fragment completion is a frequently used test in implicit memory research. A database of 196 Spanish fragments was recently published (Das{\{}$\backslash$'i{\}}, Soler, {\&} Ruiz, 2004) in which the fragments were described for indices, such as difficulty, familiarity, frequency, number of meanings, and so on (www.psychonomic.org/archive). In this work, a new index, the priming index, is described for the same 196 fragments. This index is calculated for each fragment by subtracting the difficulty index (the proportion of correct completion when the fragment is not studied) from the proportion of correct completion when the fragment is studied, and it means the capacity of an item to be primed. In order to determine whether the new index performs well, we have replicated some important experimental effects, such as priming, frequency, and difficulty. We consider that this index can help researchers to better select stimuli for fragment-completion tasks.","1554351X",NA,NA,NA,"10.3758/BF03193005","Yes","TRUE"
"ARTICLE",NA,NA,NA,"Carmen DasíMaría José SolerJuan Carlos Ruiz",NA,NA,NA,NA,"NULL",NA,NA,"Behavior Research Methods",NA,NA,NA,"3",NA,NA,NA,NA,NA,"priming index of the spanish word fragments from the das soler and ruiz 2004 database",NA,"39","2007",NA,NA,NA,"http://link.springer.com/article/10.3758/BF03193005",NA,"10.3758/BF03193005","No","TRUE"
"ARTICLE","Tokowicz2002",NA,NA,"c(""Tokowicz, Natasha"", ""Kroll, Judith F"", ""{De Groot}, Annette M.B."", ""van Hell, Janet G"")",NA,NA,NA,NA,NA,NA,NA,"Behavior research methods, instruments, {\&} computers : a journal of the Psychonomic Society, Inc",NA,NA,NA,"3",NA,"435--451",NA,NA,NA,"number of translation norms for dutch english translation pairs a new tool for examining language production",NA,"34","2002","We collected number-of-translation norms on 562 Dutch-English translation pairs from several previous studies of cross-language processing. Participants were highly proficient Dutch-English bilinguals. Form and semantic similarity ratings were collected on the 1,003 possible translation pairs. Approximately 40{\%} of the translations were rated as being similar across languages with respect to spelling/sound (i.e., they were cognates). Approximately 45{\%} of the translations were rated as being highly semantically similar across languages. At least 25{\%} of the words in each direction of translation had more than one translation. The form similarity ratings were found to be highly reliable even when obtained with different bilinguals and modified rating procedures. Number of translations and meaning factors significantly predicted the semantic similarity of translation pairs. In future research, these norms may be used to determine the number of translations of words to control for or study this factor. These norms are available at http://www.talkbank.org/norms/tokowicz/.","0743-3808",NA,NA,"0743-3808","10.3758/BF03195472","Yes","TRUE"
"ARTICLE",NA,NA,NA,"Natasha TokowiczJudith F. KrollAnnette M. B. de GrootJanet G. van Hell",NA,NA,NA,NA,"NULL",NA,NA,"Behavior Research Methods, Instruments, & Computers",NA,NA,NA,"3",NA,NA,NA,NA,NA,"number of translation norms for dutchenglish translation pairs a new tool for examining language production",NA,"34","2002",NA,NA,NA,"http://link.springer.com/article/10.3758/BF03195472",NA,"10.3758/BF03195472","No","TRUE"
"ARTICLE","Graves2013",NA,NA,"c(""Graves, William W."", ""Binder, Jeffrey R."", ""Seidenberg, Mark S."")",NA,NA,NA,NA,NA,NA,NA,"Behavior Research Methods",NA,NA,NA,"2",NA,"463--469",NA,NA,NA,"noun noun combination meaningfulness ratings and lexical statistics for 2160 word pairs",NA,"45","2013","The combining of individual concepts to form an emergent concept is a fundamental aspect of language, yet much less is known about it than about processing isolated words or sentences. To facilitate research on conceptual combination, we provide meaningfulness ratings for a large set of (2,160) noun-noun pairs. Half of these pairs (1,080) are reversed versions of the other half (e.g., SKI JACKET and JACKET SKI), to facilitate the comparison of successful and unsuccessful conceptual combination independently of constituent lexical items. The computer code used for obtaining these ratings through a Web interface is provided. To further enhance the usefulness of this resource, ancillary measures obtained from other sources are also provided for each pair. These measures include associate production norms, contextual relatedness in terms of latent semantic analysis distance, total number of letters, phrase-level usage frequency, and word-level usage frequency summed across the words in each pair. Results of correlation and regression analyses are also provided for a quantitative description of the stimulus set. A subset of these stimuli was used to identify neural correlates of successful conceptual combination Graves, Binder, Desai, Conant, {\&} Seidenberg, (NeuroImage 53:638-646, 2010). The stimuli can be used in other research and also provide benchmark data for evaluating the effectiveness of computational algorithms for predicting meaningfulness of noun-noun pairs.","1554351X","Concepts,Conceptual combination,Lexical,Ratings,Semantics",NA,"1342801202","10.3758/s13428-012-0256-3","Yes","TRUE"
"ARTICLE",NA,NA,NA,"William W. GravesJeffrey R. BinderMark S. Seidenberg",NA,NA,NA,NA,"NULL",NA,NA,"Behavior Research Methods",NA,NA,NA,"2",NA,NA,NA,NA,NA,"nounnoun combination meaningfulness ratings and lexical statistics for 2160 word pairs",NA,"45","2013",NA,NA,NA,"http://link.springer.com/article/10.3758/s13428-012-0256-3",NA,"10.3758/s13428-012-0256-3","No","TRUE"
"ARTICLE","Tillotson2008",NA,NA,"c(""Tillotson, Sherri M."", ""Siakaluk, Paul D."", ""Pexman, Penny M."")",NA,NA,NA,NA,NA,NA,NA,"Behavior Research Methods",NA,NA,NA,"4",NA,"1075--1078",NA,NA,NA,"body object interaction ratings for 1618 monosyllabic nouns",NA,"40","2008","Body-object interaction (BOI) assesses the ease with which a human body can physically interact with a word's referent. Recent research has shown that BOI influences visual word recognition processes in such a way that responses to high-BOI words (e.g., couch) are faster and less error prone than responses to low-BOI words (e.g., cliff). Importantly, the high-BOI words and the low-BOI words that were used in those studies were matched on imageability. In the present study, we collected BOI ratings for a large set of words. BOI ratings, on a 1-7 scale, were obtained for 1,618 monosyllabic nouns. These ratings allowed us to test the generalizability of BOI effects to a large set of items, and they should be useful to researchers who are interested in manipulating or controlling for the effects of BOI. The body-object interaction ratings for this study may be downloaded from the Psychonomic Society's Archive of Norms, Stimuli, and Data, www.psychonomic.org/archive.","1554351X",NA,NA,"1554-351X","10.3758/BRM.40.4.1075","Yes","TRUE"
"ARTICLE",NA,NA,NA,"Sherri M. TillotsonPaul D. SiakalukPenny M. Pexman",NA,NA,NA,NA,"NULL",NA,NA,"Behavior Research Methods",NA,NA,NA,"4",NA,NA,NA,NA,NA,"bodyobject interaction ratings for 1618 monosyllabic nouns",NA,"40","2008",NA,NA,NA,"http://link.springer.com/article/10.3758/BRM.40.4.1075",NA,"10.3758/BRM.40.4.1075","No","TRUE"
"ARTICLE","Posnansky1978",NA,NA,"Posnansky, Carla J.",NA,NA,NA,NA,NA,NA,NA,"Behavior Research Methods {\&} Instrumentation",NA,NA,NA,"6",NA,"819--832",NA,NA,NA,"category norms for verbal items in 25 categories for children in grades 2 6",NA,"10","1978","Three hundred and seventy-five children in Grades 2, 3, 4, and 6 were asked to generate instances of 25 different categories within a time period of 1 min per category. Data were tallied so that category instances are ranked as to proportion of subjects making each response at each grade level. Indications of the average number of category instances generated by children at each grade level within each category are provided.","1554351X",NA,NA,NA,"10.3758/BF03205407","Yes","TRUE"
"ARTICLE",NA,NA,NA,"Carla J. Posnansky",NA,NA,NA,NA,"NULL",NA,NA,"Behavior Research Methods & Instrumentation",NA,NA,NA,"6",NA,NA,NA,NA,NA,"category norms for verbal items in 25 categories for children in grades 26",NA,"10","1978",NA,NA,NA,"http://link.springer.com/article/10.3758/BF03205407",NA,"10.3758/BF03205407","No","TRUE"
"ARTICLE","Bennett2011",NA,NA,"c(""Bennett, Stephen D.R."", ""Burnett, A. Nicole"", ""Siakaluk, Paul D."", ""Pexman, Penny M."")",NA,NA,NA,NA,NA,NA,NA,"Behavior Research Methods",NA,NA,NA,"4",NA,"1100--1109",NA,NA,NA,"imageability and body object interaction ratings for 599 multisyllabic nouns",NA,"43","2011","We collected imageability and body-object interaction (BOI) ratings for 599 multisyllabic nouns. We then examined the effects of these variables on a subset of these items in picture-naming, word-naming, lexical decision, and semantic categorization. Picture-naming latencies were taken from the International Picture-Naming Project database (Szekely, Jacobsen, D'Amico, Devescovi, Andonova, Herron, et al. Journal of Memory and Language, 51, 247-250, 2004), word-naming and lexical decision latencies were taken from the English Lexicon Project database (Balota, Yap, Cortese, Hutchison, Kessler, Loftis, et al. Behavior Research Methods, 39, 445-459, 2007), and we collected semantic categorization latencies. Results from hierarchical multiple regression analyses showed that imageability and BOI separately accounted for unique latency variability in each task, even with several other predictor variables (e.g., print frequency, number of syllables and morphemes, age of acquisition) entered first in the analyses. These ratings should be useful to researchers interested in manipulating or controlling for the effects of imageability and BOI for multisyllabic stimuli in lexical and semantic tasks.","1554351X","Embodied cognition,Linguistic conceptual processing",NA,"1554-351X","10.3758/s13428-011-0117-5","Yes","TRUE"
"ARTICLE",NA,NA,NA,"Stephen D. R. BennettA. Nicole BurnettPaul D. SiakalukPenny M. Pexman",NA,NA,NA,NA,"NULL",NA,NA,"Behavior Research Methods",NA,NA,NA,"4",NA,NA,NA,NA,NA,"imageability and bodyobject interaction ratings for 599 multisyllabic nouns",NA,"43","2011",NA,NA,NA,"http://link.springer.com/article/10.3758/s13428-011-0117-5",NA,"10.3758/s13428-011-0117-5","No","TRUE"
"ARTICLE","Peereman1999",NA,NA,"c(""Peereman, Ronald"", ""Content, Alain"")",NA,NA,NA,NA,NA,NA,NA,"Behavior Research Methods, Instruments, and Computers",NA,NA,NA,"2",NA,"376--379",NA,NA,NA,"lexop a lexical database providing orthography phonology statistics for french monosyllabic words",NA,"31","1999","During the last 20 years, psycholinguistic research has identified many variables that influence reading and spelling processes. We describe a new computerized lexical database, LEXOP, which provides quantitative descriptors about the relations between orthography and phonology for French monosyllabic words. Three main classes of variables are considered: consistency of print-to-sound and sound-to-print associations, frequency of orthography-phonology correspondences, and word neighborhood characteristics.","07433808",NA,NA,"0743-3808","10.3758/BF03207735","Yes","TRUE"
"ARTICLE","1999-05841-02419990501",NA,NA,"c(""Peereman, Ronald"", "" Content, Alain"")",NA,NA,NA,NA,NA,NA,NA,"Behavior Research Methods, Instruments & Computers",NA,NA,NA,"2",NA,"376 - 379",NA,NA,NA,"lexop a lexical database providing orthographyphonology statistics for french monosyllabic words",NA,"31","1999","During the last 20 years, psycholinguistic research has identified many variables that influence reading and spelling processes. In this article, the authors describe a new computerized lexical database, LEXOP, which provides quantitative descriptors about the relations between orthography and phonology for French monosyllabic words. Three main classes of variables are considered: consistency of print-to-sound and sound-to-print associations, frequency of orthography–phonology correspondences, and word neighborhood characteristics. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","0743-3808","computerized lexical database which provides quantitative descriptors about the relations between orthography & phonology for French monosyllabic words, Databases as Topic, Dictionaries as Topic, France, Language, Psycholinguistics, Statistics as Topic, Computer Applications, Databases, Human Computer Interaction, Orthography, Phonology, Computer Software, Words (Phonetic Units)","http://search.ebscohost.com.proxy.missouristate.edu/login.aspx?direct=true&db=psyh&AN=1999-05841-024&site=ehost-live&scope=site",NA,NA,"No","TRUE"
"MISC","Peereman2007",NA,NA,"c(""Peereman, Ronald"", ""L{\\'{e}}t{\\'{e}}, Bernard"", ""Sprenger-Charolles, Liliane"")","Behavior Research Methods",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",NA,"579--589",NA,NA,NA,"manulex infra distributional characteristics of grapheme phoneme mappings and infralexical and lexical units in child directed written material",NA,"39","2007","It is well known that the statistical characteristics of a language, such as word frequency or the consistency of the relationships between orthography and phonology, influence literacy acquisition. Accordingly, linguistic databases play a central role by compiling quantitative and objective estimates about the principal variables that affect reading and writing acquisition. We describe a new set of Web-accessible databases of French orthography whose main characteristic is that they are based on frequency analyses of words occurring in reading books used in the elementary school grades. Quantitative estimates were made for several infralexical variables (syllable, grapheme-to-phoneme mappings, bigrams) and lexical variables (lexical neighborhood, homophony and homography). These analyses should permit quantitative descriptions of the written language in beginning readers, the manipulation and control of variables based on objective data in empirical studies, and the development of instructional methods in keeping with the distributional characteristics of the orthography.","1554351X",NA,NA,"1554-351X","10.3758/BF03193029","Yes","TRUE"
"ARTICLE",NA,NA,NA,"Ronald PeeremanBernard LétéLiliane Sprenger-Charolles",NA,NA,NA,NA,"NULL",NA,NA,"Behavior Research Methods",NA,NA,NA,"3",NA,NA,NA,NA,NA,"manulex infra distributional characteristics of graphemephoneme mappings and infralexical and lexical units in child directed written material",NA,"39","2007",NA,NA,NA,"http://link.springer.com/article/10.3758/BF03193029",NA,"10.3758/BF03193029","No","TRUE"
"ARTICLE","Benjafield1993",NA,NA,"c(""Benjafield, John"", ""Frommhold, Kris"", ""Keenan, Tom"", ""Muckenheim, Ron"", ""Mueller, Dierk"")",NA,NA,NA,NA,NA,NA,NA,"Behavior Research Methods, Instruments, {\&} Computers",NA,NA,NA,"1",NA,"27--40",NA,NA,NA,"imagery concreteness goodness and familiarity ratings for 500 proverbs sampled from the oxford dictionary of english proverbs",NA,"25","1993","Partly in order to facilitate research on the relation between some standard psychological variables, we gathered normative data on 500 proverbs sampled from theOxford Dictionary of English Proverbs (Wilson, 1970). The scales for which we gathered data are imagery, concreteness, goodness , and familiarity. These norms may be of value to researchers who wish to sample linguistic units larger than the word from a set that contains an extensive number of unfamiliar and familiar items. To illustrate the possible uses to which these data may be put, we presented a causal model of the relation between the four variables mentioned above.","07433808",NA,NA,NA,"10.3758/BF03204446","Yes","TRUE"
"ARTICLE",NA,NA,NA,"John BenjafieldKris FrommholdTom KeenanRon MuckenheimDierk Mueller",NA,NA,NA,NA,"NULL",NA,NA,"Behavior Research Methods, Instruments, & Computers",NA,NA,NA,"1",NA,NA,NA,NA,NA,"imagery concreteness goodness and familiarity ratings for 500 proverbs sampled from theoxford dictionary of english proverbs",NA,"25","1993",NA,NA,NA,"http://link.springer.com/article/10.3758/BF03204446",NA,"10.3758/BF03204446","No","TRUE"
"ARTICLE","Hofmann2007",NA,NA,"c(""Hofmann, Markus J."", ""Stenneken, Prisca"", ""Conrad, Markus"", ""Jacobs, Arthur M."")",NA,NA,NA,NA,NA,NA,NA,"Behavior Research Methods",NA,NA,NA,"3",NA,"620--629",NA,NA,NA,"sublexical frequency measures for orthographic and phonological units in german",NA,"39","2007","Many recent studies have demonstrated the influence of sublexical frequency measures on language processing, or called for controlling sublexical measures when selecting stimulus material for psycholinguistic studies (Aichert {\&} Ziegler, 2005). The present study discusses which measures should be controlled for in what kind of study, and presents orthographic and phonological syllable, dual unit (bigram and biphoneme) and single unit (letter and phoneme) type and token frequency measures derived from the lemma and word form corpora of the CELEX lexical database (Baayen, Piepenbrock, {\&} Gulikers, 1995). Additionally, we present the SUBLEX software as an adaptive tool for calculating sublexical frequency measures and discuss possible future applications. The measures and the software can be downloaded at www.psychonomic.org.","1554351X",NA,NA,"1554-351X (Print)$\backslash$r1554-351X (Linking)","10.3758/BF03193034","Yes","TRUE"
"ARTICLE","2007-14785-03320070801",NA,NA,"c(""Hofmann, Markus J."", "" Stenneken, Prisca"", "" Conrad, Markus"", "" Jacobs, Arthur M."")",NA,NA,NA,NA,NA,NA,NA,"Behavior Research Methods",NA,NA,NA,"3",NA,"620 - 629",NA,NA,NA,"sublixal frequency measures for orthographic and phonological units in german",NA,"39","2007","Many recent studies have demonstrated the influence of sublexical frequency measures on language processing, or called for controlling sublexical measures when selecting stimulus material for psycholinguistic studies (Aichert & Ziegler, 2005). The present study discusses which measures should be controlled for in what kind of study, and presents orthographic and phonological syllable, dual unit (bigram and biphoneme) and single unit (letter and phoneme) type and token frequency measures derived from the lemma and word form corpora of the CELEX lexical database (Baayen, Piepenbrock, & Gulikers, 1995). Additionally, we present the SUBLEX software as an adaptive tool for calculating sublexical frequency measures and discuss possible future applications. The measures and the software can be downloaded at www.psychonomic.org. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","1554-351X, 1554-3528","sublixal frequency, orthographic units, phonological units, language processing, psycholinguistics, SUBLEX software, Humans, Linguistics, Periodicity, Phonetics, Vocabulary, Orthography, Phonology, Psycholinguistics, Syllables","mhof@zedat.fu-berlin.de, ORCID: 0000-0003-1335-437X",NA,NA,"No","TRUE"
